cue_id,cuepool_name,no_color,logical_tags
6454,Symmetry Span - E Left,24,5 e r_flip
6455,Symmetry Span - E Left,26,1 e left
6472,Symmetry Span - E Right,22,5 e right
6473,Symmetry Span - E Right,26,7 e l_flip
6474,Symmetry Span - E Right,24,8 e right
6475,Symmetry Span - E Right,27,6 e right
6476,Symmetry Span - E Right,25,7 e right
6478,Symmetry Span - E Right,26,1 e right
6479,Symmetry Span - E Right,26,2 e right
6480,Symmetry Span - E Right,24,3 e right
6481,Symmetry Span - E Right,19,4 e right
6482,Symmetry Span - E Right,24,e l_flip 3
6483,Symmetry Span - E Right,26,1 e l_flip
6484,Symmetry Span - E Right,19,4 e l_flip
6485,Symmetry Span - E Right,28,6 e l_flip
6486,Symmetry Span - E Right,28,2 e l_flip
6487,Symmetry Span - E Right,21,5 e l_flip
6477,Symmetry Span - E Right,24,8 e l_flip
