logical_tags,org_tags,cue_id,cuepool_name
g sral1,spatialrotation g,7141,Spatial Rotation - objects 1A
k sral1,spatialrotation k,7142,Spatial Rotation - objects 1A
c sral1,spatialrotation c,7179,Spatial Rotation - objects 1B
b sral1,spatialrotation b,7180,Spatial Rotation - objects 1B
sral1 i,spatialrotation i,7181,Spatial Rotation - objects 1B
j sral1,spatialrotation j,7182,Spatial Rotation - objects 1B
f sral1,spatialrotation f,7195,Spatial Rotation - objects 1C
l sral1,spatialrotation l,7196,Spatial Rotation - objects 1C
a sral1,spatialrotation a,7197,Spatial Rotation - objects 1C
d sral1,spatialrotation d,7198,Spatial Rotation - objects 1C
c sral2_3,spatialrotation c,7267,Spatial Rotation - objects 2_3A
f sral2_3,spatialrotation f,7268,Spatial Rotation - objects 2_3A
k sral2_3,spatialrotation k,7269,Spatial Rotation - objects 2_3A
sral2_3 i,spatialrotation i,7270,Spatial Rotation - objects 2_3A
b sral2_3,spatialrotation b,7274,Spatial Rotation - objects 2_3B
e sral2_3,spatialrotation e,7271,Spatial Rotation - objects 2_3B
g sral2_3,spatialrotation g,7272,Spatial Rotation - objects 2_3B
h sral2_3,spatialrotation h,7273,Spatial Rotation - objects 2_3B
l sral2_3,spatialrotation l,7275,Spatial Rotation - objects 2_3B
sral2_3 n,spatialrotation n,7276,Spatial Rotation - objects 2_3C
sral2_3 m,spatialrotation m,7277,Spatial Rotation - objects 2_3C
a sral2_3,spatialrotation a,7278,Spatial Rotation - objects 2_3C
d sral2_3,spatialrotation d,7279,Spatial Rotation - objects 2_3C
j sral2_3,spatialrotation j,7280,Spatial Rotation - objects 2_3C
k sral4_5,spatialrotation k,7413,Spatial Rotation - objects 4_5A
c sral4_5,spatialrotation c,7414,Spatial Rotation - objects 4_5A
h sral4_5,spatialrotation h,7415,Spatial Rotation - objects 4_5A
e sral4_5,spatialrotation e,7416,Spatial Rotation - objects 4_5A
a sral4_5,spatialrotation a,7417,Spatial Rotation - objects 4_5B
f sral4_5,spatialrotation f,7418,Spatial Rotation - objects 4_5B
sral4_5 i,spatialrotation i,7419,Spatial Rotation - objects 4_5B
j sral4_5,spatialrotation j,7420,Spatial Rotation - objects 4_5B
b sral4_5,spatialrotation b,7421,Spatial Rotation - objects 4_5C
d sral4_5,spatialrotation d,7422,Spatial Rotation - objects 4_5C
g sral4_5,spatialrotation g,7423,Spatial Rotation - objects 4_5C
l sral6_7,spatialrotation l,7424,Spatial Rotation - objects 6_7A
b sral6_7,spatialrotation b,7425,Spatial Rotation - objects 6_7A
c sral6_7,spatialrotation c,7426,Spatial Rotation - objects 6_7A
d sral6_7,spatialrotation d,7427,Spatial Rotation - objects 6_7A
a sral6_7,spatialrotation a,7428,Spatial Rotation - objects 6_7A
k sral6_7,spatialrotation k,7429,Spatial Rotation - objects 6_7B
sral6_7 m,spatialrotation m,7430,Spatial Rotation - objects 6_7B
f sral6_7,spatialrotation f,7431,Spatial Rotation - objects 6_7B
h sral6_7,spatialrotation h,7432,Spatial Rotation - objects 6_7B
j sral6_7,spatialrotation j,7433,Spatial Rotation - objects 6_7B
e sral6_7,spatialrotation e,7434,Spatial Rotation - objects 6_7C
sral6_7 n,spatialrotation n,7435,Spatial Rotation - objects 6_7C
sral6_7 i,spatialrotation i,7436,Spatial Rotation - objects 6_7C
g sral6_7,spatialrotation g,7437,Spatial Rotation - objects 6_7C
d sral8_9,spatialrotation d,7438,Spatial Rotation - objects 8_9A
g sral8_9,spatialrotation g,7439,Spatial Rotation - objects 8_9A
a sral8_9,spatialrotation a,7440,Spatial Rotation - objects 8_9A
b sral8_9,spatialrotation b,7441,Spatial Rotation - objects 8_9A
j sral8_9,spatialrotation j,7442,Spatial Rotation - objects 8_9B
k sral8_9,spatialrotation k,7443,Spatial Rotation - objects 8_9B
e sral8_9,spatialrotation e,7444,Spatial Rotation - objects 8_9B
h sral8_9,spatialrotation h,7445,Spatial Rotation - objects 8_9B
sral8_9 i,spatialrotation i,7446,Spatial Rotation - objects 8_9C
f sral8_9,spatialrotation f,7447,Spatial Rotation - objects 8_9C
c sral8_9,spatialrotation c,7448,Spatial Rotation - objects 8_9C
c sral1side,spatialrotation c,7155,Spatial Rotation - sides 1
f sral1side,spatialrotation f,7156,Spatial Rotation - sides 1
a sral1side,spatialrotation a,7157,Spatial Rotation - sides 1
d sral1side,spatialrotation d,7158,Spatial Rotation - sides 1
g sral1side,spatialrotation g,7159,Spatial Rotation - sides 1
e sral1side,spatialrotation e,7160,Spatial Rotation - sides 1
j sral1side,spatialrotation j,7161,Spatial Rotation - sides 1
k sral1side,spatialrotation k,7162,Spatial Rotation - sides 1
sral1side i,spatialrotation i,7163,Spatial Rotation - sides 1
l sral1side,spatialrotation l,7164,Spatial Rotation - sides 1
b sral1side,spatialrotation b,7165,Spatial Rotation - sides 1
h sral1side,spatialrotation h,7166,Spatial Rotation - sides 1
a sral10-11side,spatialrotation a,7457,Spatial Rotation - sides 10-11
b sral10-11side,spatialrotation b,7458,Spatial Rotation - sides 10-11
c sral10-11side,spatialrotation c,7454,Spatial Rotation - sides 10-11
d sral10-11side,spatialrotation d,7450,Spatial Rotation - sides 10-11
e sral10-11side,spatialrotation e,7459,Spatial Rotation - sides 10-11
f sral10-11side,spatialrotation f,7453,Spatial Rotation - sides 10-11
g sral10-11side,spatialrotation g,7449,Spatial Rotation - sides 10-11
h sral10-11side,spatialrotation h,7455,Spatial Rotation - sides 10-11
i sral10-11side,spatialrotation i,7456,Spatial Rotation - sides 10-11
j sral10-11side,spatialrotation j,7451,Spatial Rotation - sides 10-11
k sral10-11side,spatialrotation k,7452,Spatial Rotation - sides 10-11
a sral12-13side,spatialrotation a,7466,Spatial Rotation - sides 12-13
b sral12-13side,spatialrotation b,7470,Spatial Rotation - sides 12-13
c sral12-13side,spatialrotation c,7461,Spatial Rotation - sides 12-13
d sral12-13side,spatialrotation d,7468,Spatial Rotation - sides 12-13
e sral12-13side,spatialrotation e,7462,Spatial Rotation - sides 12-13
f sral12-13side,spatialrotation f,7469,Spatial Rotation - sides 12-13
g sral12-13side,spatialrotation g,7465,Spatial Rotation - sides 12-13
h sral12-13side,spatialrotation h,7464,Spatial Rotation - sides 12-13
i sral12-13side,spatialrotation i,7460,Spatial Rotation - sides 12-13
j sral12-13side,spatialrotation j,7463,Spatial Rotation - sides 12-13
k sral12-13side,spatialrotation k,7467,Spatial Rotation - sides 12-13
e sral14-15side,spatialrotation e,7471,Spatial Rotation - sides 14-15
c sral14-15side,spatialrotation c,7472,Spatial Rotation - sides 14-15
b sral14-15side,spatialrotation b,7473,Spatial Rotation - sides 14-15
d sral14-15side,spatialrotation d,7474,Spatial Rotation - sides 14-15
a sral14-15side,spatialrotation a,7475,Spatial Rotation - sides 14-15
f sral14-15side,spatialrotation f,7577,Spatial Rotation - sides 14-15
a sral2_3side,spatialrotation a,7295,Spatial Rotation - sides 2-3
d sral2_3side,spatialrotation d,7296,Spatial Rotation - sides 2-3
g sral2_3side,spatialrotation g,7297,Spatial Rotation - sides 2-3
f sral2_3side,spatialrotation f,7298,Spatial Rotation - sides 2-3
k sral2_3side,spatialrotation k,7299,Spatial Rotation - sides 2-3
sral2_3side m,spatialrotation m,7300,Spatial Rotation - sides 2-3
sral2_3side n,spatialrotation n,7301,Spatial Rotation - sides 2-3
j sral2_3side,spatialrotation j,7302,Spatial Rotation - sides 2-3
c sral2_3side,spatialrotation c,7303,Spatial Rotation - sides 2-3
h sral2_3side,spatialrotation h,7304,Spatial Rotation - sides 2-3
sral2_3side i,spatialrotation i,7305,Spatial Rotation - sides 2-3
l sral2_3side,spatialrotation l,7306,Spatial Rotation - sides 2-3
b sral2_3side,spatialrotation b,7307,Spatial Rotation - sides 2-3
e sral2_3side,spatialrotation e,7308,Spatial Rotation - sides 2-3
a sral4-5side,spatialrotation a,7476,Spatial Rotation - sides 4-5
j sral4-5side,spatialrotation j,7477,Spatial Rotation - sides 4-5
b sral4-5side,spatialrotation b,7478,Spatial Rotation - sides 4-5
k sral4-5side,spatialrotation k,7479,Spatial Rotation - sides 4-5
g sral4-5side,spatialrotation f,7480,Spatial Rotation - sides 4-5
d sral4-5side,spatialrotation d,7481,Spatial Rotation - sides 4-5
c sral4-5side,spatialrotation c,7482,Spatial Rotation - sides 4-5
h sral4-5side,spatialrotation h,7483,Spatial Rotation - sides 4-5
f sral4-5side,spatialrotation f,7484,Spatial Rotation - sides 4-5
sral4-5side i,spatialrotation i,7485,Spatial Rotation - sides 4-5
e sral4-5side,spatialrotation e,7486,Spatial Rotation - sides 4-5
h sral6-7side,spatialrotation h,7487,Spatial Rotation - sides 6-7
l sral6-7side,spatialrotation l,7488,Spatial Rotation - sides 6-7
j sral6-7side,spatialrotation j,7489,Spatial Rotation - sides 6-7
c sral6-7side,spatialrotation c,7490,Spatial Rotation - sides 6-7
sral6-7side m,spatialrotation m,7491,Spatial Rotation - sides 6-7
d sral6-7side,spatialrotation d,7492,Spatial Rotation - sides 6-7
f sral6-7side,spatialrotation f,7493,Spatial Rotation - sides 6-7
k sral6-7side,spatialrotation k,7494,Spatial Rotation - sides 6-7
sral6-7side n,spatialrotation n,7495,Spatial Rotation - sides 6-7
a sral6-7side,spatialrotation a,7496,Spatial Rotation - sides 6-7
e sral6-7side,spatialrotation e,7497,Spatial Rotation - sides 6-7
sral6-7side i,spatialrotation i,7498,Spatial Rotation - sides 6-7
b sral6-7side,spatialrotation b,7499,Spatial Rotation - sides 6-7
g sral6-7side,spatialrotation g,7500,Spatial Rotation - sides 6-7
a sral8-9side,spatialrotation a,7504,Spatial Rotation - sides 8-9
b sral8-9side,spatialrotation b,7510,Spatial Rotation - sides 8-9
c sral8-9side,spatialrotation c,7509,Spatial Rotation - sides 8-9
d sral8-9side,spatialrotation d,7506,Spatial Rotation - sides 8-9
e sral8-9side,spatialrotation e,7503,Spatial Rotation - sides 8-9
f sral8-9side,spatialrotation f,7502,Spatial Rotation - sides 8-9
g sral8-9side,spatialrotation g,7507,Spatial Rotation - sides 8-9
h sral8-9side,spatialrotation h,7501,Spatial Rotation - sides 8-9
i sral8-9side,spatialrotation i,7508,Spatial Rotation - sides 8-9
j sral8-9side,spatialrotation j,7511,Spatial Rotation - sides 8-9
k sral8-9side,spatialrotation k,7505,Spatial Rotation - sides 8-9
sral1top i,spatialrotation i,7167,Spatial Rotation - tops 1
f sral1top,spatialrotation f,7168,Spatial Rotation - tops 1
c sral1top,spatialrotation c,7169,Spatial Rotation - tops 1
e sral1top,spatialrotation e,7170,Spatial Rotation - tops 1
d sral1top,spatialrotation d,7171,Spatial Rotation - tops 1
b sral1top,spatialrotation b,7172,Spatial Rotation - tops 1
l sral1top,spatialrotation l,7173,Spatial Rotation - tops 1
k sral1top,spatialrotation k,7174,Spatial Rotation - tops 1
h sral1top,spatialrotation h,7175,Spatial Rotation - tops 1
j sral1top,spatialrotation j,7176,Spatial Rotation - tops 1
g sral1top,spatialrotation g,7177,Spatial Rotation - tops 1
a sral1top,spatialrotation a,7178,Spatial Rotation - tops 1
a sral10_11top,spatialrotation a,7520,Spatial Rotation - tops 10-11
b sral10_11top,spatialrotation b,7518,Spatial Rotation - tops 10-11
c sral10_11top,spatialrotation c,7521,Spatial Rotation - tops 10-11
d sral10_11top,spatialrotation d,7516,Spatial Rotation - tops 10-11
e sral10_11top,spatialrotation e,7512,Spatial Rotation - tops 10-11
f sral10_11top,spatialrotation f,7514,Spatial Rotation - tops 10-11
g sral10_11top,spatialrotation g,7522,Spatial Rotation - tops 10-11
h sral10_11top,spatialrotation h,7517,Spatial Rotation - tops 10-11
sral10_11top i,spatialrotation i,7513,Spatial Rotation - tops 10-11
j sral10_11top,spatialrotation j,7519,Spatial Rotation - tops 10-11
k sral10_11top,spatialrotation k,7515,Spatial Rotation - tops 10-11
a sral12_13top,spatialrotation a,7528,Spatial Rotation - tops 12-13
b sral12_13top,spatialrotation b,7529,Spatial Rotation - tops 12-13
c sral12_13top,spatialrotation c,7530,Spatial Rotation - tops 12-13
